Fv,Fh,4531,4532,4533,4534,,
0,0,2.1,3.1,1.1,-0.7,,0.755
3500,0,-5.9,4.3,0.4,-2.1,,0.59
7000,0,-5.7,5.6,-4.6,-3.3,,0.855
10500,0,3,5.8,-10.3,-1.5,,0.312
14000,0,21.9,4.2,-16.1,6.3,,0.464
17500,0,53.9,-0.1,-22,21,,0.351
21000,0,96.9,-6.1,-27.2,38.6,,0.385
24500,0,172,-14.4,-32.3,69,,0.109
28000,0,205.8,-20.9,-36.8,79.3,,0.396
31500,0,236.7,-27,-40.3,88.7,,0.801
35000,0,268.4,-34,-43.6,97.6,,0.268
0,0,-0.5,2.3,3.7,0.5,,0.205
-3500,0,-2.1,3,-2.2,0.5,,0.08
-7000,0,-4.9,5,9.8,1.5,,0.476
-10500,0,-8.7,5.7,29.7,6.3,,0.611
-14000,0,-12.6,5.8,56.4,15.7,,0.7
-17500,0,-15.8,6.6,89.4,26.4,,0.402
-21000,0,-18.5,6,131.4,40.5,,0.312
-24500,0,-21.8,5.4,172.5,51.5,,0.876
-28000,0,-27.8,5.1,215.1,65.4,,0.61
-31500,0,-33.8,6.2,258.2,80,,0.848
-35000,0,-38.9,8.1,299.5,94.6,,0.855
0,0,0.3,-0.2,1.5,4.3,,0.831
0,0,0.1,0,0.7,-3.4,,0.605
0,3500,7.7,1.3,-0.5,-3.1,,0.882
0,7000,23.4,3.1,3.9,11.3,,0.205
0,10500,43.1,5.2,15.9,35.3,,0.956
0,14000,63.8,7.9,31.4,59.1,,0.341
0,17500,83.7,11,48.9,83.2,,0.463
0,21000,102.9,13.6,66.9,107.6,,0.213
0,24500,121.9,16.4,85.4,131.8,,0.112
0,28000,140.4,19.3,103.8,155,,0.522
0,31500,158.9,22.4,122.3,178,,0.13
0,35000,176.9,25.6,141,197.8,,0.312
0,0,-2.8,-2.1,-1.7,-2.6,,0.646
0,-3500,19.4,-48.2,-4.1,-4.2,,0.358
0,-7000,46.3,-97.6,-4.4,-4,,0.186
0,-10500,69.7,-140,-1.5,-1.3,,0.402
0,-14000,91.1,-180.7,7,1.9,,0.412
0,-17500,110.5,-221.3,21.9,5.8,,0.814
0,-21000,127.7,-261.3,40.6,9.6,,0.596
0,-24500,145.5,-302.3,58.3,12.9,,0.383
0,-28000,162.8,-346.3,76.3,17.7,,0.315
0,-31500,180.1,-389.3,93.4,21.8,,0.433
0,-35000,197,-433.5,110.4,26.1,,0.928
0,0,-1,-2.5,-1.4,-7.9,,0.825
,,,,,,,1529.362968
